Country,Arrivals
,
'Austria',1395502
,
'Belgio',1995834
,
'Boulgaria',5412397
,
'Gallia',6264238
,
'Germania',11886390
,
'Dania',1130727
,
'Esthonia',76585
,
'En. Basileio',10011913
,
'Irlandia',276056
,
'Ispania',632335
,
'Italia',5223655
,
'Kupros',2182021
,
'Lettonia',108219
,
'Lithouania',185169
,
'Louxembourgo',104646
,
'Malta',18634
,
'Ollandia',2916518
,
'Ouggaria',455607
,
'Polonia',2433884
,
'Portogalia',100454
,
'Roumania',1816615
,
'Slobakia',269843
,
'Slobenia',136615
,
'Souedia',1711836
,
'Tsekhia',1669395
,
'Phinlandia',777249
,
'Albania',2364744
,
'Elbetia',1775865
,
'Norbegia',1276548
,
'Islandia',8868
,
'Rosia',4729577
,
'Serbia - Maurobounio',1312508
,
'Loipa Krate Europes',8251432
,
'Iaponia',60786
,
'Iran',38970
,
'Israel',959163
,
'Kina',158946
,
'Libanos - Suria',116403
,
'N. Korea',48718
,
'Tourkia',4115312
,
'Loipa krate M. Anatoles',169620
,
'Loipa krate Asias',291956
,
'Aiguptos - Soudan',48573
,
'Notioaphrikanike Enose',110044
,
'Loipa krate Aphrikes',58870
,
'Argentine',126795
,
'Brazilia',228401
,
'Mexiko',69839
,
'E.P.A.',2667158
,
'Kanadas',759698
,
'Loipa krate Amerikes',166038
,
'Australia',729109
,
'Loipa krate Okeanias',34592
